"","Council","Internet Access","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"28","Dumfries & Galloway","Don't know","-","0.5","-","0.3","0.3","-","0.5","-","*","-","-","1.6","-","-","1.2","-","0.8"
"29","Dumfries & Galloway","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"30","Dumfries & Galloway","Base","420","400","400","420","370","330","330","340","*","70","80","70","80","90","80","70","70"
"31","Dundee City","Yes","27.2","34.2","40","41.1","47.8","56.8","55.5","66.9","*","71.5","76.7","74.1","78.7","85.7","83.1","82.6","80"
"32","Dundee City","No","72.8","65.6","60","58.9","52.2","43.2","44.2","33.1","*","28.5","23.3","25.9","21.3","14.3","16.9","17.4","20"
"33","Dundee City","Don't know","-","0.2","-","-","-","-","0.3","-","*","-","-","-","-","-","-","-","-"
"34","Dundee City","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"35","Dundee City","Base","440","430","460","450","290","260","290","280","*","80","80","100","90","90","70","80","60"
"36","East Ayrshire","Yes","34.4","38.1","39.9","49.3","48.9","53.3","57.6","64.2","*","62.8","68.6","76.5","81","85.1","83.8","78.3","82.5"
"37","East Ayrshire","No","65.3","61.9","60.1","50.5","51.1","46.7","41.8","35.8","*","36.1","31.4","23.5","17.6","14.9","16.2","21.7","17.5"
"38","East Ayrshire","Don't know","0.3","-","-","0.2","-","-","0.6","-","*","1.1","-","-","1.4","-","-","-","-"
"39","East Ayrshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"40","East Ayrshire","Base","310","380","320","330","250","230","220","230","*","80","70","80","70","80","60","70","80"
"41","East Dunbartonshire","Yes","49.9","59.7","62.1","63","64","79.8","77","81.4","*","79","82.5","77.5","89.2","90.6","89.5","92.6","93.7"
"42","East Dunbartonshire","No","49.7","40.3","37.9","37","36","19.7","23","18.2","*","21","17.5","22.5","10.8","9.4","10.5","7.4","6.3"
"43","East Dunbartonshire","Don't know","0.4","-","-","-","-","0.6","-","0.4","*","-","-","-","-","-","-","-","-"
"44","East Dunbartonshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"45","East Dunbartonshire","Base","250","300","260","260","210","180","180","180","*","80","90","90","80","80","80","60","70"
"46","East Lothian","Yes","48","44.3","51.5","50.6","65.6","64.8","62.5","68.4","*","75","79.6","79.3","83.4","84.4","89.4","90.6","84"
"47","East Lothian","No","51.2","55.7","48.5","49.1","34.4","35.2","37.5","31","*","25","20.4","20.7","16.6","15.6","10.6","9.4","16"
"48","East Lothian","Don't know","0.8","-","-","0.3","-","-","-","0.6","*","-","-","-","-","-","-","-","-"
"49","East Lothian","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"50","East Lothian","Base","260","290","280","270","250","220","250","240","*","90","90","70","80","100","90","70","80"
"51","East Renfrewshire","Yes","52.1","55.3","60.2","62.7","69.7","66.7","70.8","77.2","*","79.5","83.1","80","85.4","85.6","91.8","88.8","96.8"
"52","East Renfrewshire","No","47.6","44.7","39.8","37.3","30.3","33.3","29.2","22.8","*","20.5","16.9","20","14.6","14.4","8.2","11.2","3.2"
"53","East Renfrewshire","Don't know","0.3","-","-","-","-","-","-","-","*","-","-","-","-","-","-","-","-"
"54","East Renfrewshire","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"55","East Renfrewshire","Base","300","280","280","270","190","190","220","190","*","70","90","70","80","80","80","60","60"
"56","Edinburgh, City of","Yes","50.2","51.4","53.2","55.1","63.2","65.6","73.3","72.9","*","86.3","83.6","89.9","89.1","86.7","90.1","90.8","91.9"
"57","Edinburgh, City of","No","49.7","48.5","46.4","44.9","36.8","34.2","26.7","27.1","*","13.7","16.4","10.1","10.9","13.3","9.9","9.2","7.8"
"58","Edinburgh, City of","Don't know","0.1","0.1","0.4","-","-","0.1","-","-","*","-","-","-","-","-","-","-","0.3"
"59","Edinburgh, City of","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"60","Edinburgh, City of","Base","1180","1330","1250","1390","830","770","830","860","*","250","280","260","230","250","240","250","260"
"61","Falkirk","Yes","43.9","37.8","41.5","51.7","60.6","65.5","60.4","67.4","*","74.3","78.9","75.7","73.6","78.5","78.3","*","87.7"
"62","Falkirk","No","55.4","62.2","58.5","48.3","39.4","34.5","39.6","32.6","*","25.7","21.1","24.3","26.4","21.5","21.7","*","12.3"
"63","Falkirk","Don't know","0.6","-","-","-","-","-","-","-","*","-","-","-","-","-","-","*","-"
"64","Falkirk","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"65","Falkirk","Base","370","450","400","390","280","240","240","270","*","80","90","90","80","90","70","50","60"
"66","Fife","Yes","44","47.9","50.4","55.5","57.5","59.8","65","66.8","*","78.7","78","78.5","81.4","78.6","84.2","85.7","88.4"
"67","Fife","No","55.9","52","49.5","44.4","42.5","40.1","35","33.1","*","21","22","21.5","18.6","21.4","15.8","14.3","11.6"
"68","Fife","Don't know","0.1","0.1","0.1","0.1","-","0.1","-","0.1","*","0.3","-","-","-","-","-","-","-"
"69","Fife","All","100","100","100","100","100","100","100","100","*","100","100","100","100","100","100","100","100"
"70","Fife","Base","1000","1080","1090","1060","780","690","740","670","*","180","190","180","170","200","180","180","150"
