"","Year","Council","Rating","20% most deprived","2","3","4","20% least deprived","All"
"112","2012","Falkirk","Fairly poor","*","4.4","-","*","*","3.3"
"113","2012","Fife","Fairly poor","12.2","5.5","3.3","-","1.4","4.5"
"114","2012","Glasgow City","Fairly poor","15.7","6.5","4.6","-","2.9","9.3"
"115","2012","Highland","Fairly poor","*","-","0.8","1.9","*","1.3"
"116","2012","Inverclyde","Fairly poor","4","*","*","*","*","2.6"
"117","2012","Midlothian","Fairly poor","*","6","5.5","*","*","4.5"
"118","2012","Moray","Fairly poor","*","*","-","1.8","*","0.9"
"119","2012","Na-h Eileanan Siar","Fairly poor","-","-","0.5","*","-","0.2"
"120","2012","North Ayrshire","Fairly poor","13.2","5.8","*","0.8","*","7.1"
"121","2012","North Lanarkshire","Fairly poor","6.8","3.6","3.7","*","*","3.9"
"122","2012","Orkney Islands","Fairly poor","-","5.6","*","1.8","*","2.2"
"123","2012","Perth & Kinross","Fairly poor","*","*","*","-","-","1.9"
"124","2012","Renfrewshire","Fairly poor","11.3","12.8","2.7","*","-","6"
"125","2012","Scotland","Fairly poor","12.3","4.8","2.8","1","0.5","4.3"
"126","2012","Scottish Borders","Fairly poor","*","*","2.1","1.4","*","2.2"
"127","2012","Shetland Islands","Fairly poor","-","*","2.7","0.4","*","1.3"
"128","2012","South Ayrshire","Fairly poor","*","2.1","1.4","*","-","1.9"
"129","2012","South Lanarkshire","Fairly poor","16.2","1.8","3.7","0.7","-","4.1"
"130","2012","Stirling","Fairly poor","*","3.1","*","-","0.8","1.9"
"131","2012","West Dunbartonshire","Fairly poor","12.1","2.9","5.4","*","*","6.3"
"132","2012","West Lothian","Fairly poor","*","7.2","-","*","*","4.8"
"133","2012","Aberdeen City","Very poor","*","2.4","*","*","-","1.4"
"134","2012","Aberdeenshire","Very poor","*","*","2","-","-","1.4"
"135","2012","Angus","Very poor","*","4.8","1.4","-","*","1.5"
"136","2012","Argyll & Bute","Very poor","*","16.4","-","1.8","*","4.5"
"137","2012","Clackmannanshire","Very poor","6.1","-","4.3","*","*","2.6"
"138","2012","Dumfries & Galloway","Very poor","*","-","-","-","*","0.3"
"139","2012","Dundee City","Very poor","7.5","-","*","*","*","2.4"
"140","2012","East Ayrshire","Very poor","6.3","1.4","*","*","*","2.8"
"141","2012","East Dunbartonshire","Very poor","*","*","*","-","0.4","1.2"
"142","2012","East Lothian","Very poor","*","*","*","-","*","0.8"
"143","2012","East Renfrewshire","Very poor","*","*","*","*","-","0.2"
"144","2012","Edinburgh, City of","Very poor","3.7","1.2","1.4","1.2","-","1.1"
"145","2012","Falkirk","Very poor","*","1.7","1","*","*","0.7"
"146","2012","Fife","Very poor","5.5","1.5","1.1","0.6","0.7","1.9"
"147","2012","Glasgow City","Very poor","5.4","0.3","2.8","-","-","2.9"
"148","2012","Highland","Very poor","*","3.6","3.5","2.6","*","3.4"
"149","2012","Inverclyde","Very poor","-","*","*","*","*","0.2"
"150","2012","Midlothian","Very poor","*","-","-","*","*","0.6"
"151","2012","Moray","Very poor","*","*","-","-","*","0.3"
"152","2012","Na-h Eileanan Siar","Very poor","-","-","0.5","*","-","0.3"
"153","2012","North Ayrshire","Very poor","2.1","-","*","-","*","0.7"
"154","2012","North Lanarkshire","Very poor","3.1","2","-","*","*","1.6"
"155","2012","Orkney Islands","Very poor","-","1.1","*","-","*","0.2"
"156","2012","Perth & Kinross","Very poor","*","*","*","3.8","-","2.8"
"157","2012","Renfrewshire","Very poor","2.6","-","-","*","-","0.8"
"158","2012","Scotland","Very poor","5","2","1.1","0.6","0.1","1.7"
"159","2012","Scottish Borders","Very poor","*","*","-","-","*","0.3"
"160","2012","Shetland Islands","Very poor","-","*","1.4","-","*","1.3"
"161","2012","South Ayrshire","Very poor","*","1.7","-","*","-","1.4"
"162","2012","South Lanarkshire","Very poor","4.7","1.6","1.7","-","-","1.6"
"163","2012","Stirling","Very poor","*","-","*","-","-","0.8"
"164","2012","West Dunbartonshire","Very poor","8.4","3.2","1.5","*","*","4.3"
"165","2012","West Lothian","Very poor","*","4.9","-","*","*","2.2"
"166","2012","Aberdeen City","No opinion","*","-","*","*","-","-"
"167","2012","Aberdeenshire","No opinion","*","*","-","-","1.1","0.4"
"168","2012","Angus","No opinion","*","-","-","-","*","-"
"169","2012","Argyll & Bute","No opinion","*","-","-","-","*","0.2"
"170","2012","Clackmannanshire","No opinion","-","-","-","*","*","-"
"171","2012","Dumfries & Galloway","No opinion","*","-","-","-","*","-"
"172","2012","Dundee City","No opinion","-","-","*","*","*","-"
"173","2012","East Ayrshire","No opinion","-","-","*","*","*","-"
"174","2012","East Dunbartonshire","No opinion","*","*","*","-","-","0.7"
"175","2012","East Lothian","No opinion","*","*","*","-","*","-"
"176","2012","East Renfrewshire","No opinion","*","*","*","*","-","-"
"177","2012","Edinburgh, City of","No opinion","-","-","-","-","0.5","0.2"
"178","2012","Falkirk","No opinion","*","-","2.7","*","*","0.6"
"179","2012","Fife","No opinion","0.8","-","-","2.5","-","0.7"
"180","2012","Glasgow City","No opinion","0.5","0.7","2","-","-","0.6"
"181","2012","Highland","No opinion","*","-","-","-","*","-"
"182","2012","Inverclyde","No opinion","-","*","*","*","*","-"
"183","2012","Midlothian","No opinion","*","-","-","*","*","-"
"184","2012","Moray","No opinion","*","*","0.6","-","*","0.2"
"185","2012","Na-h Eileanan Siar","No opinion","-","-","-","*","-","-"
"186","2012","North Ayrshire","No opinion","-","-","*","-","*","-"
"187","2012","North Lanarkshire","No opinion","-","-","1.1","*","*","0.2"
"188","2012","Orkney Islands","No opinion","-","-","*","-","*","-"
"189","2012","Perth & Kinross","No opinion","*","*","*","-","-","1.7"
"190","2012","Renfrewshire","No opinion","0.8","-","-","*","-","0.2"
"191","2012","Scotland","No opinion","0.6","0.3","0.3","0.2","0.2","0.3"
"192","2012","Scottish Borders","No opinion","*","*","-","-","*","-"
"193","2012","Shetland Islands","No opinion","-","*","-","-","*","-"
"194","2012","South Ayrshire","No opinion","*","-","-","*","-","-"
"195","2012","South Lanarkshire","No opinion","-","-","-","-","-","-"
"196","2012","Stirling","No opinion","*","-","*","-","-","0.3"
"197","2012","West Dunbartonshire","No opinion","-","-","-","*","*","-"
"198","2012","West Lothian","No opinion","*","2.1","0.9","*","*","1.6"
"199","2012","Aberdeen City","All","100","100","100","100","100","100"
"200","2012","Aberdeenshire","All","100","100","100","100","100","100"
"201","2012","Angus","All","100","100","100","100","100","100"
"202","2012","Argyll & Bute","All","100","100","100","100","100","100"
"203","2012","Clackmannanshire","All","100","100","100","100","100","100"
"204","2012","Dumfries & Galloway","All","100","100","100","100","100","100"
"205","2012","Dundee City","All","100","100","100","100","100","100"
"206","2012","East Ayrshire","All","100","100","100","100","100","100"
"207","2012","East Dunbartonshire","All","100","100","100","100","100","100"
"208","2012","East Lothian","All","100","100","100","100","100","100"
"209","2012","East Renfrewshire","All","100","100","100","100","100","100"
"210","2012","Edinburgh, City of","All","100","100","100","100","100","100"
"211","2012","Falkirk","All","100","100","100","100","100","100"
"212","2012","Fife","All","100","100","100","100","100","100"
"213","2012","Glasgow City","All","100","100","100","100","100","100"
"214","2012","Highland","All","100","100","100","100","100","100"
"215","2012","Inverclyde","All","100","100","100","100","100","100"
"216","2012","Midlothian","All","100","100","100","100","100","100"
"217","2012","Moray","All","100","100","100","100","100","100"
"218","2012","Na-h Eileanan Siar","All","-","100","100","100","-","100"
"219","2012","North Ayrshire","All","100","100","100","100","100","100"
"220","2012","North Lanarkshire","All","100","100","100","100","100","100"
"221","2012","Orkney Islands","All","-","100","100","100","100","100"
"222","2012","Perth & Kinross","All","100","100","100","100","100","100"
"223","2012","Renfrewshire","All","100","100","100","100","100","100"
"224","2012","Scotland","All","100","100","100","100","100","100"
"225","2012","Scottish Borders","All","100","100","100","100","100","100"
"226","2012","Shetland Islands","All","-","100","100","100","100","100"
"227","2012","South Ayrshire","All","100","100","100","100","100","100"
"228","2012","South Lanarkshire","All","100","100","100","100","100","100"
"229","2012","Stirling","All","100","100","100","100","100","100"
"230","2012","West Dunbartonshire","All","100","100","100","100","100","100"
"231","2012","West Lothian","All","100","100","100","100","100","100"
"232","2012","Aberdeen City","Base","50","60","50","40","110","300"
"233","2012","Aberdeenshire","Base","0","30","70","110","90","310"
"234","2012","Angus","Base","10","50","70","90","30","250"
"235","2012","Argyll & Bute","Base","20","50","90","70","20","250"
"236","2012","Clackmannanshire","Base","70","50","60","40","30","260"
"237","2012","Dumfries & Galloway","Base","20","50","100","50","20","240"
"238","2012","Dundee City","Base","90","60","30","30","40","250"
"239","2012","East Ayrshire","Base","80","70","20","30","20","220"
"240","2012","East Dunbartonshire","Base","10","50","20","60","120","260"
"241","2012","East Lothian","Base","10","50","50","90","40","240"
"242","2012","East Renfrewshire","Base","10","20","20","40","130","210"
"243","2012","Edinburgh, City of","Base","90","100","120","120","280","720"
"244","2012","Falkirk","Base","40","80","50","40","40","240"
"245","2012","Fife","Base","110","100","100","90","80","480"
"246","2012","Glasgow City","Base","450","180","100","100","80","910"
"247","2012","Highland","Base","20","60","100","80","30","290"
"248","2012","Inverclyde","Base","130","40","40","40","30","280"
"249","2012","Midlothian","Base","20","70","50","50","20","200"
"250","2012","Moray","Base","0","40","90","80","30","240"
"251","2012","Na-h Eileanan Siar","Base","-","110","140","10","-","260"
"252","2012","North Ayrshire","Base","110","70","50","50","20","300"
"253","2012","North Lanarkshire","Base","130","120","80","50","30","410"
"254","2012","Orkney Islands","Base","-","70","50","170","10","290"
"255","2012","Perth & Kinross","Base","10","40","50","100","50","240"
"256","2012","Renfrewshire","Base","100","50","60","40","50","310"
"257","2012","Scotland","Base","1880","2080","2150","2120","1670","9890"
"258","2012","Scottish Borders","Base","20","40","90","90","10","240"
"259","2012","Shetland Islands","Base","-","10","120","140","20","280"
"260","2012","South Ayrshire","Base","50","70","50","30","50","250"
"261","2012","South Lanarkshire","Base","80","110","100","70","60","420"
"262","2012","Stirling","Base","20","50","40","70","60","250"
"263","2012","West Dunbartonshire","Base","90","80","50","20","10","260"
"264","2012","West Lothian","Base","40","80","50","40","40","250"
"265","2013","Aberdeen City","Very/fairly good","*","85.5","95.6","*","97.1","92.3"
"266","2013","Aberdeenshire","Very/fairly good","*","*","97.2","96","99.1","96.8"
"267","2013","Angus","Very/fairly good","*","*","96.6","96.4","*","96.6"
"268","2013","Argyll & Bute","Very/fairly good","*","*","97.7","100","*","97.1"
"269","2013","Clackmannanshire","Very/fairly good","87.6","92.4","92.8","*","*","92.4"
"270","2013","Dumfries & Galloway","Very/fairly good","*","92.6","93.3","100","*","93.9"
"271","2013","Dundee City","Very/fairly good","87.9","95.7","*","*","*","93.3"
"272","2013","East Ayrshire","Very/fairly good","84.1","97.7","*","*","*","95"
"273","2013","East Dunbartonshire","Very/fairly good","*","*","*","*","99.1","98.2"
"274","2013","East Lothian","Very/fairly good","*","92.1","*","97.7","*","95.9"
"275","2013","East Renfrewshire","Very/fairly good","*","*","*","*","99.7","99.6"
"276","2013","Edinburgh, City of","Very/fairly good","83.1","93.8","91.5","96","98.8","94.7"
"277","2013","Falkirk","Very/fairly good","*","96.9","*","*","*","93.6"
"278","2013","Fife","Very/fairly good","85","94.6","96.6","96.7","99","94.6"
"279","2013","Glasgow City","Very/fairly good","82.9","90.2","97.3","99.2","100","89.6"
"280","2013","Highland","Very/fairly good","*","96.9","97","98.5","*","97.3"
