"Year","Geographylevel","Indicator","Categories","Age","Percent","Mean","LowerCI","UpperCI"
"2017","Scotland","Summary activity levels","Meets recommendations","35-44",77,NA,73.4,81.2
"2017","Scotland","Summary activity levels","Some activity","35-44",7,NA,4.9,9.4
"2017","Scotland","Summary activity levels","Low activity","35-44",4,NA,2,5.5
"2017","Scotland","Summary activity levels","Very low activity","35-44",12,NA,8.6,14.9
"2017","Scotland","Summary activity levels","Meets recommendations","45-54",68,NA,63.9,72.2
"2017","Scotland","Summary activity levels","Some activity","45-54",12,NA,8.8,14.6
"2017","Scotland","Summary activity levels","Low activity","45-54",4,NA,2,5.1
"2017","Scotland","Summary activity levels","Very low activity","45-54",17,NA,13.3,20
"2017","Scotland","Summary activity levels","Meets recommendations","55-64",60,NA,55.8,65
"2017","Scotland","Summary activity levels","Some activity","55-64",10,NA,7.3,12.3
"2017","Scotland","Summary activity levels","Low activity","55-64",5,NA,3,6.3
"2017","Scotland","Summary activity levels","Very low activity","55-64",25,NA,21.1,29.2
"2017","Scotland","Summary activity levels","Meets recommendations","65-74",53,NA,47.8,57.2
"2017","Scotland","Summary activity levels","Some activity","65-74",13,NA,10,15.7
"2017","Scotland","Summary activity levels","Low activity","65-74",5,NA,3,6.7
"2017","Scotland","Summary activity levels","Very low activity","65-74",30,NA,25.1,34.5
"2017","Scotland","Summary activity levels","Meets recommendations","75+",28,NA,22.7,32.6
"2017","Scotland","Summary activity levels","Some activity","75+",16,NA,11.8,19.3
"2017","Scotland","Summary activity levels","Low activity","75+",6,NA,3.7,9.2
"2017","Scotland","Summary activity levels","Very low activity","75+",50,NA,45.1,55.6
"2017","Scotland","Summary activity levels","Meets recommendations","All",65,NA,63.1,67.2
"2017","Scotland","Summary activity levels","Some activity","All",11,NA,9.4,11.7
"2017","Scotland","Summary activity levels","Low activity","All",4,NA,3.4,4.8
"2017","Scotland","Summary activity levels","Very low activity","All",20,NA,18.5,21.9
"2018","Scotland","Summary activity levels","Meets recommendations","16-24",77,NA,72.4,81.3
"2018","Scotland","Summary activity levels","Some activity","16-24",8,NA,4.8,10.3
"2018","Scotland","Summary activity levels","Low activity","16-24",3,NA,1,5.5
"2018","Scotland","Summary activity levels","Very low activity","16-24",12,NA,8.5,16.2
"2018","Scotland","Summary activity levels","Meets recommendations","25-34",80,NA,76.6,83.4
"2018","Scotland","Summary activity levels","Some activity","25-34",8,NA,5.9,10.7
"2018","Scotland","Summary activity levels","Low activity","25-34",2,NA,0.7,2.9
"2018","Scotland","Summary activity levels","Very low activity","25-34",10,NA,7.2,12.5
"2018","Scotland","Summary activity levels","Meets recommendations","35-44",75,NA,70.9,79.6
"2018","Scotland","Summary activity levels","Some activity","35-44",9,NA,7,12
"2018","Scotland","Summary activity levels","Low activity","35-44",3,NA,1.6,4.3
"2018","Scotland","Summary activity levels","Very low activity","35-44",12,NA,9.2,15.5
