"","Year","Council","","1 - 20% most deprived","2","3","4","5 - 20% least deprived","All"
"127","2013","Shetland Islands","Swimming","-","*","17.8","21.9","*","19"
"128","2013","South Ayrshire","Swimming","*","14.6","9.7","*","6.2","10.2"
"129","2013","South Lanarkshire","Swimming","11.7","14.9","12.6","8.8","14.5","12.7"
"130","2013","Stirling","Swimming","*","18.5","*","28.6","18.1","20.3"
"131","2013","West Dunbartonshire","Swimming","19","18.3","15.9","*","*","17"
"132","2013","West Lothian","Swimming","*","23.9","18.5","*","*","23.2"
"133","2013","Aberdeen City","Keep fit","*","8.8","11.4","*","18.7","13.7"
"134","2013","Aberdeenshire","Keep fit","*","*","6.6","8.3","15.4","10.1"
"135","2013","Angus","Keep fit","*","*","7.1","28.7","*","19.2"
"136","2013","Argyll & Bute","Keep fit","*","*","2.8","14.4","*","7.8"
"137","2013","Clackmannanshire","Keep fit","4.5","15","15.6","*","*","10.8"
"138","2013","Dumfries & Galloway","Keep fit","*","4.3","9.7","5.6","*","10"
"139","2013","Dundee City","Keep fit","13.1","24.3","*","*","*","15"
"140","2013","East Ayrshire","Keep fit","9.7","8.3","*","*","*","12.4"
"141","2013","East Dunbartonshire","Keep fit","*","*","*","*","15.5","14.6"
"142","2013","East Lothian","Keep fit","*","5.6","*","12.8","*","12.7"
"143","2013","East Renfrewshire","Keep fit","*","*","*","*","23","16.6"
"144","2013","Edinburgh, City of","Keep fit","13.5","7.8","16.9","18.6","20.4","17"
"145","2013","Falkirk","Keep fit","*","10.1","*","*","*","9.3"
"146","2013","Fife","Keep fit","8.3","7.3","7.3","18.4","24.8","13.3"
"147","2013","Glasgow City","Keep fit","12.5","11.4","9.6","18.8","27.9","13.8"
"148","2013","Highland","Keep fit","*","3.8","18.3","14.6","*","12.6"
"149","2013","Inverclyde","Keep fit","6.2","*","*","*","*","10.8"
"150","2013","Midlothian","Keep fit","*","13.3","18.6","10.1","*","11.7"
"151","2013","Moray","Keep fit","*","*","8.8","16.6","*","13.1"
"152","2013","Na h-Eileanan Siar","Keep fit","-","9.9","9.4","*","-","9.3"
"153","2013","North Ayrshire","Keep fit","18.6","12.7","*","*","*","15"
"154","2013","North Lanarkshire","Keep fit","6","15","12.7","*","*","12"
"155","2013","Orkney Islands","Keep fit","-","16.2","*","14.3","*","13.9"
"156","2013","Perth & Kinross","Keep fit","*","*","*","13.5","9.4","11.7"
"157","2013","Renfrewshire","Keep fit","6.7","21.4","15.3","*","*","14.8"
"158","2013","Scotland","Keep fit","9.9","11.1","11.6","13.9","19.3","13.2"
"159","2013","Scottish Borders","Keep fit","*","*","12.1","10.6","*","11.2"
"160","2013","Shetland Islands","Keep fit","-","*","12.8","15.3","*","15.1"
"161","2013","South Ayrshire","Keep fit","*","16.7","9.5","*","7.6","13.8"
"162","2013","South Lanarkshire","Keep fit","7.7","11.3","14.2","8.4","16.8","11.9"
"163","2013","Stirling","Keep fit","*","5.3","*","15.5","18","12.2"
"164","2013","West Dunbartonshire","Keep fit","10.3","13.6","7.1","*","*","11.4"
"165","2013","West Lothian","Keep fit","*","5.4","13.1","*","*","13.9"
"166","2013","Aberdeen City","MultiGym / Weight training","*","6.6","26.4","*","17.9","14.4"
"167","2013","Aberdeenshire","MultiGym / Weight training","*","*","6.8","5.3","11.8","7.6"
"168","2013","Angus","MultiGym / Weight training","*","*","8.9","13.7","*","11.3"
"169","2013","Argyll & Bute","MultiGym / Weight training","*","*","7","6.8","*","9"
"170","2013","Clackmannanshire","MultiGym / Weight training","9.1","10.9","14.5","*","*","10.9"
"171","2013","Dumfries & Galloway","MultiGym / Weight training","*","3.1","6.1","5.4","*","6.4"
